Test::Deep	FAIL	1266	1268	pure-perl
Try::Tiny	FAIL	91	94	pure-perl
Test::Fatal	PASS	19	19	pure-perl
MIME::Base32	PASS	31	31	pure-perl
HTML::Tagset	PASS	33	33	pure-perl
Test::Warn	FAIL	0	14	pure-perl
Path::Tiny	FAIL	1488	1542	pure-perl
namespace::clean	CONFIG_FAIL			pure-perl
Parse::RecDescent	FAIL			pure-perl
Spreadsheet::WriteExcel	FAIL			pure-perl
Image::ExifTool	FAIL			pure-perl
DateTime	FAIL			java-xs
Spreadsheet::ParseExcel	FAIL			java-xs
IO::Stringy	FAIL			pure-perl
Moo	FAIL			xs-with-pp-fallback
MIME::Base64	FAIL			java-xs
URI	FAIL			pure-perl
IO::HTML	FAIL			pure-perl
LWP::MediaTypes	FAIL			pure-perl
Test::Needs	FAIL			pure-perl
Test::Warnings	FAIL			pure-perl
Encode::Locale	FAIL			pure-perl
Log::Log4perl	FAIL	623	624	pure-perl
JSON	FAIL	23683	24886	pure-perl
Type::Tiny	FAIL	18	20	pure-perl
List::MoreUtils	INSTALLED			xs-with-pp-fallback
Template	FAIL			xs-with-pp-fallback
Mojolicious	FAIL			pure-perl
Devel::Cover	FAIL			xs-required
HTTP::Message	FAIL			pure-perl
HTML::Parser	FAIL			xs-required
IO::Compress::Gzip	FAIL			xs-required
Moose	FAIL			xs-required
Plack	FAIL			pure-perl
LWP::UserAgent	FAIL			pure-perl
DBIx::Class	FAIL			pure-perl
DBI	FAIL			xs-required
Params::Util	FAIL			xs-with-pp-fallback
Class::Load	FAIL			xs-with-pp-fallback
